nombre,edad,genero,ciudad,pizza,burger,lugar_comida,musica,mus_relajada,mus_rapida,salir,actividades
Dujuan Azulay,49,hombre,Caldas de Reyes,piña,True,comida rápida,rápida,hip hop,rock/metal,disco,playa
Ogden Plaian,20,mujer,Iruerrieta,piña,False,comida rápida,relajada,hip hop,rock/metal,bar,montaña
Anne Nasarre letosa,44,hombre,Herrera de Pisuerga,no piña,True,comida rápida,relajada,hip hop,techno,disco,playa
Jamara Verbruggen,41,mujer,Sandianes,piña,True,comida rápida,relajada,pop,rock/metal,disco,playa
Kanda Velix,27,mujer,Alpujarra de la Sierra,no piña,True,comida rápida,rápida,hip hop,techno,disco,montaña
Jihan Dohmen,19,mujer,Guiamets,no piña,False,comida rápida,relajada,pop,rock/metal,bar,playa
Niklas Barkouki,35,mujer,Moreda de Álava,piña,False,restaurante,rápida,pop,rock/metal,bar,montaña
Cathi Sandstrom,45,mujer,Rodén,piña,False,restaurante,relajada,hip hop,rock/metal,bar,montaña
Shalice Gogoasa,44,mujer,Matallana,piña,True,restaurante,relajada,hip hop,techno,disco,playa
Chavis Laraj,50,hombre,Noya,piña,True,comida rápida,relajada,pop,techno,disco,montaña
Cisco Potoc,38,mujer,Grandes,piña,False,comida rápida,rápida,pop,techno,disco,playa
Patty Mirangels,32,hombre,San Quirico Safaja,no piña,False,comida rápida,relajada,pop,techno,disco,playa
Brittney Gimilio,42,hombre,Bellcaire,piña,False,restaurante,rápida,hip hop,rock/metal,bar,playa
Shealyn Crisenti,48,mujer,Aoiz,piña,True,comida rápida,rápida,pop,techno,bar,montaña
Quennel Mamajon,34,mujer,Perazancas,no piña,False,restaurante,rápida,pop,rock/metal,disco,playa
Anthoni Haddi,46,hombre,Fornes,no piña,False,comida rápida,relajada,pop,rock/metal,bar,playa
Brian Consejo,31,hombre,Tarroja,piña,True,restaurante,rápida,hip hop,rock/metal,disco,playa
Jolynn Mesrar,46,mujer,San Pedro de Premiá,piña,False,comida rápida,rápida,hip hop,rock/metal,bar,montaña
Lailani Duño,40,hombre,Burela,piña,True,comida rápida,rápida,hip hop,rock/metal,disco,playa
Shaley Fortuñ,49,mujer,Sant Martí de Río Corb,no piña,False,comida rápida,relajada,pop,techno,disco,playa
Dawnmarie Kling,44,mujer,Valle de Losa,piña,False,restaurante,rápida,hip hop,rock/metal,disco,playa
Branda Bourouba,24,mujer,Labayen,piña,True,comida rápida,rápida,pop,rock/metal,disco,montaña
Marenda Rodriguez valdes,36,mujer,Estorninos,piña,True,comida rápida,relajada,hip hop,techno,disco,montaña
Vonn Eitor,45,hombre,San Pedro de Premiá,piña,True,comida rápida,relajada,pop,techno,bar,montaña
Karren Preduna,21,hombre,Salgüero de Juarros,piña,False,restaurante,relajada,pop,rock/metal,disco,playa
Amir Kaleva,20,mujer,Ramiranes,piña,False,comida rápida,relajada,hip hop,rock/metal,disco,playa
Magdeline Beron,49,hombre,Ibeas de Juarros,piña,False,comida rápida,relajada,pop,rock/metal,bar,montaña
Shantiel Atik,32,mujer,Campos del Puerto,piña,False,restaurante,relajada,hip hop,rock/metal,disco,montaña
Genaro Jaeger,34,mujer,Olóriz,no piña,False,comida rápida,rápida,pop,techno,bar,playa
Raisa Talpos,48,hombre,Masamagrell,no piña,False,restaurante,rápida,pop,techno,disco,playa
Penny Veinat,31,mujer,Mutriku,piña,True,restaurante,relajada,pop,techno,bar,montaña
Madina Apodaka,27,hombre,Vilajuiga,piña,True,restaurante,rápida,hip hop,rock/metal,disco,montaña
Eldon Pizango,38,mujer,Villamor de la Ladre,piña,False,restaurante,relajada,hip hop,techno,bar,montaña
Briza Kerkour,43,mujer,Alto Sobrarbe,piña,False,comida rápida,rápida,pop,rock/metal,bar,montaña
Quantisha Galis,22,mujer,Sotonera (La),piña,False,restaurante,rápida,pop,techno,bar,playa
Lyndia Lopez villanueva,50,hombre,Villalba de los Morales,no piña,False,restaurante,relajada,hip hop,rock/metal,disco,montaña
Rayburn Taiwo,29,mujer,Miravalles,no piña,False,restaurante,relajada,pop,rock/metal,bar,playa
Sareena Paye,30,hombre,San Mori,piña,False,restaurante,relajada,hip hop,rock/metal,disco,montaña
Brand Mies,43,hombre,Simat de Valldigna,piña,False,comida rápida,relajada,hip hop,rock/metal,disco,playa
Chanh Costantea,30,mujer,San Cugat de Sasgarriguas,piña,False,restaurante,rápida,pop,techno,disco,montaña
Sarkis Ouchrif,33,hombre,Palmerola,no piña,True,restaurante,relajada,pop,techno,disco,montaña
Weston El fahli,33,hombre,San Juan de Énova,no piña,False,restaurante,relajada,hip hop,rock/metal,disco,playa
Pepper Respuela,31,hombre,Palomar,piña,False,comida rápida,relajada,hip hop,rock/metal,disco,playa
Lou Boudount,29,mujer,Zarza (La),no piña,True,comida rápida,rápida,hip hop,techno,bar,playa
Susana Ambrioso,24,hombre,Quinzano,piña,False,restaurante,rápida,pop,rock/metal,disco,montaña
Jarrod Gradina,38,hombre,Cruilles,piña,True,comida rápida,rápida,hip hop,techno,bar,playa
Marie Subelza,48,hombre,Barbalimpia,piña,False,comida rápida,relajada,pop,rock/metal,disco,montaña
Eizabeth Dalfo,25,mujer,Monserrat,piña,True,restaurante,rápida,hip hop,techno,bar,montaña
Chrisina Bennane,21,hombre,Frúniz,no piña,False,comida rápida,rápida,pop,rock/metal,disco,montaña
Keeley Achtout,50,hombre,Casas del Puerto de Villatoro,no piña,True,restaurante,relajada,hip hop,techno,disco,montaña
Lanika Meriño,43,hombre,Barbalimpia,piña,False,comida rápida,rápida,hip hop,techno,disco,playa
Elisah Berdegue,22,hombre,San Salvador del Valle,no piña,True,comida rápida,relajada,hip hop,rock/metal,disco,playa
Henry De garcia,28,mujer,San Martín de la Virgen del Moncayo,no piña,False,comida rápida,rápida,hip hop,techno,disco,montaña
Jamy Kollmann,46,hombre,Estellenchs,no piña,False,comida rápida,rápida,pop,rock/metal,bar,montaña
Gisela Ayyoubi,28,hombre,Porqueras,no piña,True,comida rápida,rápida,hip hop,rock/metal,disco,montaña
Geoggrey Platz,24,hombre,Cardoso de la Sierra (El),no piña,False,comida rápida,relajada,hip hop,techno,disco,montaña
Pepsi Miranda de larra,49,mujer,Rillo,piña,False,restaurante,relajada,pop,rock/metal,bar,playa
Ivin Alari,31,hombre,Gátova,no piña,True,comida rápida,relajada,hip hop,techno,disco,playa
Timarie Arnosa,42,hombre,Nocito,no piña,True,comida rápida,relajada,pop,rock/metal,disco,playa
Brea Divols,39,mujer,Gomeznarro,piña,True,comida rápida,rápida,hip hop,techno,bar,playa
Nakieta Cuervas mons,48,hombre,Quintanilla Sobresierra,no piña,True,restaurante,relajada,hip hop,rock/metal,bar,playa
Jacquetta Pascoe,31,hombre,Adzaneta,piña,True,restaurante,rápida,pop,rock/metal,disco,playa
Paul Forys,41,mujer,Sangüesa,no piña,False,comida rápida,rápida,pop,rock/metal,bar,montaña
Quinn Minto,41,hombre,Pradoluengo,no piña,False,comida rápida,relajada,pop,rock/metal,bar,montaña
Zenobia Pucurull,32,hombre,Almaluez,no piña,False,comida rápida,rápida,pop,rock/metal,disco,montaña
Jonas Hadaf,43,mujer,Rupit-Pruit,piña,False,restaurante,relajada,hip hop,rock/metal,bar,montaña
Elita Chin,33,hombre,Manjirón,piña,True,restaurante,rápida,pop,rock/metal,disco,montaña
Chiketa Cucho,44,mujer,Bruñola,piña,False,restaurante,rápida,pop,techno,bar,playa
Nthony Fryhah,45,mujer,Cuevas de Provanco,no piña,False,comida rápida,rápida,pop,techno,disco,montaña
Lilith Amodio,38,hombre,Lozoyuela-Navas-Sieteiglesias,no piña,True,restaurante,rápida,hip hop,rock/metal,bar,montaña
Rico Bentouhami,44,mujer,Quintanalara,piña,True,comida rápida,rápida,pop,rock/metal,bar,montaña
Winslow Romocea,46,hombre,Barbadanes,piña,True,comida rápida,rápida,hip hop,techno,bar,playa
Sherronda Sarac,29,hombre,Roselló,piña,True,comida rápida,relajada,hip hop,rock/metal,disco,montaña
Kaylor Venturo,43,mujer,Abadiano,no piña,False,restaurante,relajada,pop,techno,bar,montaña
Byan Catagua,34,hombre,Villanueva de Alcolea,piña,False,comida rápida,rápida,hip hop,techno,disco,playa
Tarl Ul,27,hombre,Arcentales,no piña,True,comida rápida,rápida,pop,techno,disco,playa
Alphonse Cubias,49,hombre,Vilanova de Escornalbou,piña,True,comida rápida,rápida,hip hop,techno,bar,playa
Teddrick Jimenes,22,mujer,Puente la Reina de Jaca,no piña,True,restaurante,relajada,hip hop,techno,bar,playa
Tanaia Berbetoros,45,mujer,Alfar,no piña,True,comida rápida,rápida,pop,techno,disco,montaña
Sherika Danceanu,27,hombre,Santesteban,no piña,True,comida rápida,rápida,hip hop,techno,bar,playa
Michail Boujekhrout,36,hombre,Gordejuela,piña,False,comida rápida,relajada,hip hop,techno,bar,playa
Rashed Semmar,31,hombre,Pino de Bureba,no piña,True,restaurante,relajada,pop,techno,disco,playa
Darren Cavalieri,49,hombre,Iruerrieta,no piña,False,comida rápida,rápida,hip hop,techno,disco,montaña
Laszlo Vinhas,48,hombre,Gaztelu,no piña,False,restaurante,rápida,pop,rock/metal,bar,montaña
Hugh El malqui,27,mujer,Junta de la Cerca,piña,True,comida rápida,relajada,pop,rock/metal,bar,montaña
Brandy Pierson,21,mujer,Ajo (El),piña,False,restaurante,relajada,pop,techno,disco,playa
Gerrard Ribaguda,18,hombre,Puigpuñent,no piña,True,restaurante,rápida,pop,techno,bar,montaña
Nalee Chlih,50,hombre,Añoza,piña,True,comida rápida,rápida,hip hop,rock/metal,disco,montaña
Persephone Pietraru,31,hombre,Orgaña,piña,False,comida rápida,relajada,hip hop,rock/metal,bar,montaña
Reco Canciu,47,mujer,Cuevas del Campo,no piña,True,comida rápida,relajada,hip hop,techno,disco,montaña
Lorilei Gabicagogeascoa,41,mujer,Belicena,no piña,True,restaurante,rápida,hip hop,techno,bar,playa
Brenda Gomarin,19,hombre,Carbajosa de Armuña,piña,True,comida rápida,relajada,hip hop,techno,disco,playa
Garner Malka,23,hombre,Riudecañas,piña,False,restaurante,rápida,hip hop,rock/metal,disco,playa
Steffan Bernadaus,46,mujer,Puente-Caldelas,no piña,False,restaurante,relajada,pop,rock/metal,disco,playa
Kyiesha Gasser,36,hombre,Dehesas Viejas,piña,True,restaurante,rápida,hip hop,rock/metal,disco,playa
Georganna Cerveto,48,mujer,Foradada de Toscar,no piña,True,comida rápida,rápida,hip hop,techno,bar,playa
Anneliese Bonne,25,mujer,Villamartín de Valdeorras,no piña,False,comida rápida,rápida,hip hop,techno,disco,playa
Joeann Perez alarcon,40,hombre,San Salvador del Valle,no piña,True,comida rápida,rápida,pop,techno,disco,playa
Laneka Fitz,18,hombre,Lanciego,no piña,False,comida rápida,rápida,hip hop,rock/metal,bar,montaña
Ricquita Casaiz,34,hombre,Melgar de Fernamental,no piña,True,comida rápida,relajada,pop,rock/metal,bar,montaña
Keandra Almera,18,mujer,Santa Cristina de Aro,no piña,False,restaurante,rápida,hip hop,rock/metal,bar,montaña
Mira Ragas,42,hombre,Huévar,piña,True,comida rápida,relajada,hip hop,techno,disco,montaña
Andren Mhidi,47,mujer,Navarredonda,no piña,False,comida rápida,relajada,hip hop,techno,bar,playa
Ruth Buldu,46,mujer,Viure,piña,True,comida rápida,rápida,pop,techno,bar,montaña
Kandas Bayaca,18,hombre,Campillos,no piña,False,comida rápida,rápida,pop,rock/metal,bar,playa
Sharrell Lanzaran,26,mujer,Josa-Tuixent,piña,True,restaurante,relajada,pop,techno,bar,montaña
Jilliann Urman,26,hombre,Cozvíjar,no piña,True,comida rápida,relajada,hip hop,rock/metal,bar,montaña
Joany Bozic,22,hombre,Valle de las Navas,no piña,True,comida rápida,relajada,pop,rock/metal,disco,montaña
Ashanti Garcia ontiveros,28,hombre,Lores,no piña,True,comida rápida,relajada,pop,techno,disco,montaña
Marvin Minthe,27,hombre,Lloá,no piña,True,comida rápida,relajada,pop,rock/metal,disco,montaña
Margues Sinera,40,hombre,Diego Álvaro,no piña,True,restaurante,relajada,hip hop,techno,disco,playa
Yisroel Sayay,45,hombre,Montrás,no piña,True,restaurante,relajada,pop,techno,disco,playa
Nakeesha Corciu,28,mujer,Abarca,no piña,True,restaurante,rápida,hip hop,rock/metal,disco,montaña
Doua Reddy,47,hombre,Rodén,no piña,False,comida rápida,relajada,hip hop,techno,disco,playa
Lona Sollet,20,hombre,Pinell de Bray,no piña,False,restaurante,rápida,pop,techno,disco,playa
Roneshia Berchesan,37,hombre,Valera de Abajo,piña,True,restaurante,relajada,pop,techno,bar,montaña
Darrian Gottardi,20,hombre,Maslloréns,no piña,False,comida rápida,rápida,pop,rock/metal,bar,playa
Teshia Garranzo,30,mujer,Salinas de Oro,piña,False,comida rápida,rápida,pop,techno,disco,montaña
Rosana Ehapo,45,mujer,San Esteban de Gormaz,piña,False,restaurante,rápida,hip hop,rock/metal,bar,playa
Maryanna Vlasa,26,mujer,Navarrete del Río,no piña,False,comida rápida,rápida,pop,rock/metal,bar,montaña
Niccole Okariz,23,mujer,Aldeavieja de Tormes,piña,True,comida rápida,relajada,hip hop,techno,bar,playa
Sherylann Galiza,23,hombre,Tanque,no piña,False,restaurante,relajada,pop,rock/metal,disco,playa
Deidre Nadif,23,hombre,Pineda,piña,False,comida rápida,relajada,hip hop,rock/metal,bar,playa
Renika Di lorenzo,44,mujer,Milá,piña,True,comida rápida,relajada,hip hop,techno,bar,playa
Eben Gennaro,38,mujer,Montreal,piña,True,restaurante,relajada,hip hop,techno,disco,playa
Caros Nut,32,hombre,Esparragosa del Caudillo,piña,False,comida rápida,rápida,pop,techno,disco,montaña
Hanan Pillaca,22,hombre,Calzada de Don Diego,no piña,False,comida rápida,relajada,pop,rock/metal,bar,playa
Emilene Restrudis,41,hombre,Alcampel,no piña,False,comida rápida,rápida,hip hop,techno,disco,playa
Algernon Kwasi,50,mujer,Rudilla,piña,False,comida rápida,rápida,hip hop,rock/metal,bar,montaña
Lynetta Ushakova,41,hombre,Benavent de Lérida,piña,True,restaurante,rápida,pop,rock/metal,bar,montaña
Tamicka San agapito,38,hombre,Lanz,no piña,False,restaurante,rápida,hip hop,techno,disco,montaña
Chanell Cariello,34,mujer,Bisbal del Panadés,no piña,False,restaurante,rápida,pop,techno,disco,playa
Fernanda Bahammou,22,mujer,Torre de los Molinos,piña,True,restaurante,rápida,pop,techno,bar,playa
Alisyn Kassou,49,mujer,Bayona,piña,False,restaurante,rápida,pop,techno,disco,playa
Ekaterina Hucha,18,mujer,Vimbodí,piña,True,restaurante,relajada,hip hop,techno,bar,montaña
Raffi Pickard,27,hombre,Llovera,no piña,False,comida rápida,relajada,pop,techno,disco,playa
Fransisco Errazti,21,hombre,San Fructuoso de Bages,no piña,False,restaurante,relajada,pop,techno,disco,montaña
Thalia Hmam,19,mujer,Vila-seca i Salou,piña,True,restaurante,relajada,hip hop,rock/metal,bar,montaña
Juante Meshveliani,40,mujer,Quintanilla-Tordueles,piña,False,comida rápida,relajada,hip hop,techno,bar,montaña
Baruch Llahosa,24,mujer,Melegís,no piña,False,restaurante,relajada,pop,techno,disco,playa
Alta Ensenyat,34,hombre,Charches,no piña,False,restaurante,relajada,hip hop,techno,bar,playa
Ruben El abbas,40,hombre,Corporario,no piña,True,restaurante,rápida,hip hop,rock/metal,disco,playa
Meliza Mariotto,24,mujer,San Fructuoso de Bages,piña,True,comida rápida,relajada,hip hop,rock/metal,disco,playa
Nickolas Krik,25,mujer,Gabias (Las),no piña,False,restaurante,relajada,pop,rock/metal,disco,playa
Shelena Nobel,32,mujer,Lugar Nuevo de San Jerónimo,no piña,True,comida rápida,rápida,pop,techno,disco,playa
Jerika Rosabal,25,mujer,Ochandiano,piña,False,comida rápida,rápida,pop,techno,bar,montaña
Per Assis,42,mujer,Santibáñez de Tera,piña,True,restaurante,rápida,hip hop,rock/metal,disco,montaña
Talor Sbakhi,33,mujer,Peñacerrada,piña,False,restaurante,relajada,pop,techno,disco,playa
Montae Eloy garcia,37,hombre,Albánchez de Úbeda,no piña,True,restaurante,rápida,hip hop,rock/metal,bar,montaña
Mayer Leranca,37,mujer,Cozvíjar,no piña,False,comida rápida,relajada,hip hop,techno,bar,montaña
Kerline Livingstone,22,hombre,Cabrera d'Igualada,no piña,True,restaurante,rápida,hip hop,rock/metal,disco,montaña
Zechariah Piquenque,34,mujer,Villarino de Conso,piña,True,restaurante,relajada,hip hop,rock/metal,bar,montaña
Lynelle Urea,48,mujer,Zabalza,piña,True,restaurante,rápida,pop,techno,disco,montaña
Shawn Whiteley,35,mujer,Josa del Cadí,no piña,True,comida rápida,relajada,hip hop,rock/metal,bar,playa
Nola Loehr,23,hombre,Otones de Benjumea,no piña,False,comida rápida,rápida,pop,techno,disco,playa
Daemon El abdli,34,mujer,Zagra,piña,True,comida rápida,relajada,pop,rock/metal,disco,playa
Deontay Maja,25,hombre,Laguarta,piña,True,restaurante,rápida,hip hop,techno,disco,montaña
Nicolai Gomez del castillo,27,mujer,Alfar,piña,False,restaurante,relajada,hip hop,techno,disco,montaña
Nadiya Shaukat,20,mujer,Pedrajas,piña,False,comida rápida,rápida,hip hop,rock/metal,disco,montaña
Jajuan Ait abdellah,46,hombre,Cornudella,piña,True,restaurante,relajada,hip hop,techno,disco,playa
Joesph Iznaola,49,mujer,San Andrés de la Barca,no piña,True,restaurante,relajada,pop,techno,disco,playa
Naiomi Mohan,46,mujer,Noáin (Valle de Elorz),no piña,False,comida rápida,rápida,pop,rock/metal,bar,montaña
Kiyana Celiz,41,hombre,Onteniente,piña,True,comida rápida,rápida,pop,techno,bar,playa
Zainab Egidazu,33,mujer,Massanet de la Selva,piña,False,restaurante,rápida,pop,techno,disco,montaña
Demetrus Manna,42,mujer,Caldas de Malavella,piña,False,restaurante,rápida,hip hop,rock/metal,disco,playa
Amberli Lesma,40,mujer,Huete,no piña,False,restaurante,rápida,pop,techno,bar,playa
Katrin Arraut,21,mujer,Valcárceres (Los),piña,True,restaurante,relajada,pop,techno,bar,playa
Kaveh El addad,27,hombre,Ribera de Urgellet,piña,False,comida rápida,rápida,hip hop,techno,bar,montaña
Tanaya Boleas,46,hombre,Vesgas (Las),piña,True,comida rápida,relajada,pop,rock/metal,disco,montaña
Tzivia Zamborain,39,mujer,Cherta,no piña,False,comida rápida,relajada,hip hop,rock/metal,bar,playa
Sueann Amoretty,33,mujer,Chatún,no piña,True,comida rápida,relajada,pop,techno,bar,montaña
Nikola Peteva,27,mujer,San Hipólito de Voltregá,piña,False,restaurante,relajada,hip hop,rock/metal,disco,montaña
Damar Lashayas,19,mujer,Guisona,no piña,False,restaurante,rápida,pop,techno,bar,montaña
Regnald El bouti,45,hombre,Toreno,piña,False,comida rápida,relajada,pop,techno,bar,montaña
Rodney Bosio,46,hombre,Valoria de Aguilar,piña,False,comida rápida,rápida,pop,techno,bar,montaña
Paola Purcalla,34,hombre,Peñacerrada,piña,True,restaurante,rápida,hip hop,techno,bar,playa
Orion Clavellina,49,hombre,Puebla de Alfindén,no piña,False,restaurante,rápida,hip hop,techno,bar,playa
Mera Fras,30,mujer,Huete,no piña,False,comida rápida,rápida,hip hop,rock/metal,disco,montaña
Dallan Obrados,32,hombre,Marazoleja,no piña,False,restaurante,relajada,pop,rock/metal,disco,playa
Keonta Hodson,40,mujer,Fonsagrada,no piña,True,restaurante,relajada,hip hop,rock/metal,bar,playa
Roshana Sanes,37,mujer,Maruri,piña,True,comida rápida,rápida,pop,techno,bar,montaña
Emmeline Tsekov,40,hombre,Gualda,no piña,True,restaurante,relajada,pop,techno,bar,playa
Seena Silochi,28,mujer,Corsá,piña,True,restaurante,rápida,hip hop,rock/metal,bar,playa
Asya Padureanu,32,mujer,Porreras,piña,False,comida rápida,rápida,pop,techno,bar,montaña
Rekita Soroiu,33,mujer,Calatayud,no piña,False,comida rápida,rápida,hip hop,techno,bar,montaña
Doreen Masaveu,21,hombre,Valle del Zalabí,no piña,True,restaurante,rápida,hip hop,rock/metal,bar,playa
Becky Aarouss,24,hombre,Sabiñánigo,piña,True,comida rápida,relajada,pop,rock/metal,bar,montaña
Avid Kerslake,33,hombre,Xunqueira de Espadañedo,piña,True,restaurante,relajada,pop,rock/metal,disco,playa
Velda Joana,28,hombre,Olóriz,piña,False,comida rápida,relajada,pop,techno,bar,montaña
Sharaya Cotul,49,mujer,Musques,no piña,False,comida rápida,relajada,hip hop,techno,bar,playa
Kirstopher Sanchez del peral,28,hombre,Trevijano,piña,False,comida rápida,rápida,hip hop,techno,bar,playa
Cassia Merzak,28,mujer,Lloréns,no piña,True,comida rápida,relajada,hip hop,techno,bar,playa
Corianna Bachri,40,hombre,Folgoso de Caurel,piña,False,restaurante,relajada,hip hop,rock/metal,disco,montaña
Rihana Saki,19,hombre,Orgaña,piña,False,restaurante,relajada,pop,techno,bar,playa
Alban Cayoja,23,hombre,Cueva de Juarros,no piña,True,comida rápida,relajada,hip hop,rock/metal,bar,playa
Britnei Mang,36,mujer,Villaescusa de Palositos,piña,False,comida rápida,relajada,pop,techno,disco,montaña
Jereme Diaz ambrona,29,mujer,"Etxebarri, Anteiglesia de San Esteban-Etxebarri Doneztebeko Elizatea",no piña,False,restaurante,relajada,hip hop,techno,disco,montaña
Windy Astaiza,38,hombre,Cherín,no piña,True,comida rápida,relajada,hip hop,rock/metal,bar,montaña
Kalil Santaugini,20,hombre,Villamartín de Campos,piña,False,comida rápida,rápida,pop,techno,disco,montaña
Jaquanna Vallojera,36,hombre,Madrigal,no piña,False,restaurante,relajada,pop,techno,bar,montaña
Haralambos Bijl,42,mujer,Abárzuza,piña,True,comida rápida,rápida,pop,rock/metal,disco,playa
Gilverto Holmen,41,hombre,Aracaldo,no piña,True,restaurante,relajada,pop,techno,disco,playa
