nombre,edad,correo,genero,provincia,ciudad,disponibilidad,lugar_comida,musica,mus_relajada,mus_rapida,salir,actividades,photo,latitud,longitud
Hoyt Hathout,19,HoytHathout@micorreo.es,mujer,Avila,Casasola,estresemana,noche,disco,playa,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/855.jpg,40.6682408,-4.8273562
Adama Paulsen,28,AdamaPaulsen@micorreo.es,mujer,Teruel,Villanueva del rebollar de la sierra,find de semana,mañana,disco,montaña,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1150.jpg,40.8914413,-1.0091947
Sammie Oulad si ali,49,SammieOulad si ali@micorreo.es,hombre,Valencia,Gestalgar,estresemana,noche,disco,montaña,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/267.jpg,39.6042104,-0.834243
Pal Tufail,75,PalTufail@micorreo.es,hombre,Leon,Toreno,estresemana,noche,disco,playa,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1316.jpg,42.6965966,-6.5127579
Toccara Cotter,26,ToccaraCotter@micorreo.es,mujer,Albacete,Balsa de ves,find de semana,tarde,disco,playa,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1969.jpg,39.2641614,-1.1954173
Lachandra Dutoit,35,LachandraDutoit@micorreo.es,mujer,Badajoz,Valdetorres,find de semana,mañana,bar,montaña,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1798.jpg,38.9150466,-6.06799
Alxis Bornachea,38,AlxisBornachea@micorreo.es,mujer,Almeria,Turre,find de semana,tarde,disco,montaña,bar,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/279.jpg,37.1523701,-1.8945374
Graceanne Zaalouki,95,GraceanneZaalouki@micorreo.es,mujer,Santa_cruz_de_tenerife,Fasnia,estresemana,tarde,bar,playa,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1837.jpg,28.2356006,-16.4393504
Lakyn Zotelo,51,LakynZotelo@micorreo.es,hombre,Burgos,Jaramillo de la fuente,estresemana,tarde,disco,montaña,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/11.jpg,42.1151721,-3.3125095
Tempess Garteiz gogeascoa,94,TempessGarteiz gogeascoa@micorreo.es,hombre,Castellon,Vall de almonacid,find de semana,tarde,disco,montaña,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/996.jpg,39.9036644,-0.4572788
Geary Pontevedra,21,GearyPontevedra@micorreo.es,mujer,Avila,Muñosancho,estresemana,mañana,bar,playa,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1121.jpg,40.9209524,-5.0356572
Coby Cisterne,18,CobyCisterne@micorreo.es,hombre,Ciudad_real,Herencia,estresemana,noche,disco,playa,bar,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1174.jpg,39.3679627,-3.3550331
Randon Mille,63,RandonMille@micorreo.es,hombre,Madrid,Ciempozuelos,estresemana,tarde,bar,playa,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1912.jpg,40.1580087,-3.6205514
Dvid Amjahed,70,DvidAmjahed@micorreo.es,hombre,Pontevedra,Arbo,find de semana,noche,disco,montaña,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/524.jpg,42.1122944,-8.3123868
Sherese Martinez aldama,27,ShereseMartinez aldama@micorreo.es,mujer,Palencia,Marcilla de campos,estresemana,tarde,disco,montaña,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/581.jpg,42.3178263,-4.3959413
Shavette Kaluza,53,ShavetteKaluza@micorreo.es,mujer,Soria,Frechilla de almazán,find de semana,noche,disco,playa,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/472.jpg,41.4265089,-2.5149913
Pierson Carrance,97,PiersonCarrance@micorreo.es,mujer,Valladolid,Pozuelo de la orden,find de semana,tarde,disco,playa,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1813.jpg,41.82224,-5.25906
Johm Ciotoi,48,JohmCiotoi@micorreo.es,hombre,Salamanca,Martín de yeltes,estresemana,tarde,bar,montaña,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1325.jpg,40.775789,-6.2912793
Jahmal Picone,18,JahmalPicone@micorreo.es,mujer,Barcelona,Callús,estresemana,noche,disco,montaña,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1488.jpg,41.7824664,1.7837664
Aracelis Capistros,90,AracelisCapistros@micorreo.es,hombre,Leon,Castrotierra de valmadrigal,estresemana,tarde,disco,montaña,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/422.jpg,42.3463346,-5.2481945
Bubba Macesanu,30,BubbaMacesanu@micorreo.es,mujer,Salamanca,Santiago de la puebla,estresemana,mañana,disco,montaña,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/348.jpg,40.8019518,-5.2798486
Arlisha Ginez,42,ArlishaGinez@micorreo.es,mujer,Lugo,Trabada,estresemana,noche,bar,montaña,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/144.jpg,43.4471608,-7.1942852
Kule Ivancea,26,KuleIvancea@micorreo.es,mujer,Castellon,Bejís,estresemana,mañana,bar,montaña,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/292.jpg,39.9096088,-0.7079944
Sou Del sordo,31,SouDel sordo@micorreo.es,mujer,Las_palmas,San bartolomé,estresemana,mañana,disco,montaña,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1977.jpg,29.0017041,-13.6139122
Suzan Boutarfes,30,SuzanBoutarfes@micorreo.es,hombre,Caceres,Belvís de monroy,estresemana,noche,disco,montaña,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1551.jpg,39.8191634,-5.6090234
Lissete Agafitei,91,LisseteAgafitei@micorreo.es,mujer,Lugo,Guitiriz,estresemana,mañana,bar,playa,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1612.jpg,43.1808041,-7.893923
Astin Recco,89,AstinRecco@micorreo.es,mujer,Teruel,Caminreal,estresemana,tarde,disco,montaña,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/922.jpg,40.8386895,-1.3252771
Aston Mucea,86,AstonMucea@micorreo.es,mujer,Ourense,Piñor,find de semana,noche,bar,playa,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1964.jpg,42.4983947,-8.0051658
Yohance Siacara,30,YohanceSiacara@micorreo.es,hombre,Huelva,Villanueva de las cruces,find de semana,mañana,disco,playa,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1665.jpg,37.6278281,-7.0241314
Aldrich Colangelo,73,AldrichColangelo@micorreo.es,mujer,Valencia,Albaida,estresemana,mañana,bar,montaña,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1512.jpg,38.838669,-0.5181895
Wykeshia Aldosa,30,WykeshiaAldosa@micorreo.es,mujer,Vizcaya,Forua,find de semana,mañana,bar,playa,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1987.jpg,43.3329632,-2.6761163
Costas Greig,73,CostasGreig@micorreo.es,hombre,Cantabria,Hazas de cesto,estresemana,mañana,bar,montaña,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1922.jpg,43.3956539,-3.5908118
Lorna Catari,95,LornaCatari@micorreo.es,hombre,Lugo,Guitiriz,find de semana,noche,disco,playa,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1274.jpg,43.1808041,-7.893923
Ceirra Del tiempo,35,CeirraDel tiempo@micorreo.es,hombre,Madrid,Torres de la alameda,estresemana,mañana,disco,playa,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/361.jpg,40.4021516,-3.360625
Esperanza Pinent,63,EsperanzaPinent@micorreo.es,mujer,Santa_cruz_de_tenerife,Arona,estresemana,noche,disco,playa,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1176.jpg,45.7598366,8.5604081
Terina Hinrichsen,22,TerinaHinrichsen@micorreo.es,mujer,Guipuzcoa,Baliarrain,find de semana,tarde,disco,playa,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1926.jpg,43.0694191,-2.1283913
Trecia Dama,46,TreciaDama@micorreo.es,hombre,Vizcaya,Elorrio,estresemana,mañana,disco,montaña,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1623.jpg,43.1304644,-2.5426453
Trinika Rucian,97,TrinikaRucian@micorreo.es,hombre,Jaen,Montizón,estresemana,mañana,disco,montaña,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/512.jpg,38.3421949,-3.1036044
