nombre,edad,genero,provincia,ciudad,pizza,lugar_comida,musica,mus_relajada,mus_rapida,salir,actividades,photo,latitud,longitud
Leahanna Murru,53,otro,Girona,Fortià,estresemana,noche,bar,montaña,bar,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1310.jpg,42.2424345,3.0404198
Brie Bugidos,24,hombre,Tarragona,"Torre de fontaubella, la",estresemana,mañana,disco,playa,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1202.jpg,41.118803,0.8413065
Nachelle Usabel,40,mujer,Malaga,Cuevas del becerro,estresemana,noche,disco,playa,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/2009.jpg,36.87586,-5.0440091
Adora Dabad,57,mujer,Jaen,Siles,estresemana,tarde,bar,playa,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1633.jpg,38.3878613,-2.5826373
Nika Karpova,28,mujer,Malaga,Torremolinos,find de semana,mañana,disco,playa,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1276.jpg,36.6242841,-4.4995448
Dex Peroni,62,otro,Ourense,Verín,estresemana,noche,bar,playa,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1627.jpg,41.9406091,-7.4406032
Nicola Dolgova,83,otro,Albacete,Liétor,find de semana,noche,bar,playa,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/46.jpg,38.5422805,-1.9558065
Feras Iftimescu,21,hombre,Ciudad_real,Bolaños de calatrava,find de semana,tarde,disco,playa,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/199.jpg,38.9062533,-3.6629811
Lachrista Benadero,98,otro,Madrid,Corpa,find de semana,tarde,bar,montaña,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/760.jpg,40.4235374,-3.2652482
Jeane Nascimiento,19,mujer,Segovia,Castillejo de mesleón,estresemana,tarde,disco,montaña,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/306.jpg,41.2807849,-3.6015632
Corinda Chartier,51,hombre,Palencia,Hornillos de cerrato,estresemana,tarde,bar,montaña,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/665.jpg,41.9880783,-4.2724488
Zahira Smulders,59,otro,Granada,Alhendín,find de semana,noche,disco,playa,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1891.jpg,37.1078115,-3.6456986
Brisa Batten,98,otro,Lleida,Vallbona de les monges,find de semana,mañana,bar,montaña,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/150.jpg,41.5249704,1.0890539
Sierra Quinzano,79,otro,Navarra,Olejua,find de semana,mañana,bar,playa,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1670.jpg,42.6235601,-2.1423082
Violeta Viella,54,otro,Barcelona,Piera,find de semana,noche,bar,playa,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/745.jpg,41.5216923,1.7526335
Yuri Ordace,33,otro,Jaen,Rus,estresemana,mañana,bar,montaña,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/6.jpg,38.0476731,-3.461804
Markitta Mondoruza,42,hombre,Sevilla,Lora de estepa,find de semana,mañana,bar,playa,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/910.jpg,37.2687903,-4.8271052
Lionel Da gloria,90,otro,Palencia,Villamediana,find de semana,tarde,bar,montaña,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1159.jpg,42.0501652,-4.3612173
Emilly Lapuste,41,mujer,Lugo,Folgoso do courel,find de semana,mañana,disco,playa,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1307.jpg,42.5882486,-7.1925449
Jarius Boardman,50,mujer,Valladolid,Ceinos de campos,find de semana,tarde,disco,montaña,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1543.jpg,42.0321225,-5.1501864
Rachel Nguer,91,otro,Navarra,Lesaka,estresemana,noche,bar,playa,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1942.jpg,43.2471212,-1.7043191
Desarie Mascarenhas,61,hombre,Soria,Fuentestrún,find de semana,tarde,disco,montaña,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1288.jpg,41.8748261,-2.0819703
Russel Alvillar,32,otro,Asturias,Somiedo,find de semana,mañana,disco,montaña,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/696.jpg,43.102801150000005,-6.251455743067364
Tremell Barbeyto,39,mujer,Albacete,Madrigueras,find de semana,tarde,disco,playa,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1790.jpg,39.2370979,-1.8001238
Auriel Gismeros,85,mujer,Burgos,Espinosa del camino,find de semana,tarde,bar,montaña,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/785.jpg,42.4055584,-3.2796725
Rashidah Quelal,61,mujer,Granada,Morelábor,find de semana,mañana,bar,montaña,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1529.jpg,37.4271607,-3.3152413402237735
Brain Caruda,42,hombre,Palencia,Villaeles de valdavia,find de semana,noche,disco,playa,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/723.jpg,42.5659809,-4.5838316
Nikeshia Osendi,36,mujer,Salamanca,Tenebrón,estresemana,tarde,bar,playa,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1613.jpg,40.6247336,-6.3548703
Jeanmarie Pascuta,75,mujer,Madrid,Coslada,find de semana,noche,disco,playa,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1278.jpg,40.423802,-3.5552882
Der Torterolo,33,hombre,Burgos,Rezmondo,estresemana,noche,bar,playa,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/556.jpg,42.5156436,-4.238958
Shanea Lopez ochoa,85,mujer,Badajoz,Montemolín,find de semana,noche,bar,playa,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/41.jpg,38.1542754,-6.2123046
Reine Barrilao,78,hombre,Burgos,Merindad de sotoscueva,estresemana,mañana,disco,playa,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1821.jpg,43.037453299999996,-3.628700879344042
Markela Lloscos,70,otro,Albacete,Jorquera,find de semana,noche,disco,playa,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1458.jpg,39.1749446,-1.5203717
Tamora Hutu,24,hombre,Malaga,Istán,find de semana,noche,disco,playa,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1825.jpg,36.5819684,-4.9495445
Solangel Zameza,72,hombre,Castellon,Altura,estresemana,mañana,bar,playa,bar,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/362.jpg,39.8512304,-0.5128608
Marrio Touyani,46,mujer,Lugo,"Corgo, o",estresemana,tarde,disco,montaña,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1216.jpg,42.9324218,-7.4231341
Faron Burruchaga,67,otro,Huesca,Boltaña,estresemana,mañana,bar,montaña,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/147.jpg,42.4457355,0.0680185
Tacoma Papperitz,41,otro,Melilla,Melilla,find de semana,noche,disco,playa,bar,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1361.jpg,35.29291145,-2.950720236037561
Sylvia Igwe,58,otro,Guipuzcoa,Errezil,find de semana,tarde,bar,montaña,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1871.jpg,43.1647321,-2.1743978
Jeramiah Tracz,97,mujer,Salamanca,Valdunciel,find de semana,noche,disco,montaña,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/480.jpg,41.0857338,-5.6715006
Mykia Yunes,51,mujer,Ciudad_real,Santa cruz de los cáñamos,estresemana,tarde,bar,playa,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1242.jpg,38.636664,-2.8669824
Colon Ondina,23,hombre,Melilla,Melilla,find de semana,noche,disco,montaña,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1285.jpg,35.29291145,-2.950720236037561
Neka Latu,81,hombre,Avila,Rasueros,estresemana,tarde,disco,playa,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1191.jpg,41.0232602,-5.0742696
Jihan Ereña,29,otro,Avila,Narrillos del rebollar,estresemana,tarde,disco,playa,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1281.jpg,40.6649623,-4.9657629
Mikki Caprariu,95,otro,Segovia,Navafría,estresemana,mañana,disco,montaña,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1768.jpg,41.0547237,-3.8250591
Lakrisha Garcia comas,78,otro,Malaga,Igualeja,estresemana,tarde,disco,playa,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1748.jpg,36.6314956,-5.1211832
Darilyn Ouzande,51,mujer,Toledo,"Navalucillos, los",estresemana,noche,disco,playa,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1948.jpg,39.5472915,-4.6430274
Licet Massachs,58,otro,Vizcaya,Zaldibar,find de semana,mañana,disco,montaña,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/28.jpg,43.1697719,-2.548773
Teaya Learra,95,hombre,La_rioja,Villalobar de rioja,estresemana,mañana,disco,playa,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1569.jpg,42.4918138,-2.9621669
Kerensa Serle,41,mujer,Albacete,Fuente-álamo,find de semana,tarde,disco,montaña,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1911.jpg,38.7053213,-1.4492230913225232
Hakiem Llaosa,35,otro,Vizcaya,Amoroto,find de semana,noche,disco,montaña,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1146.jpg,43.3277464,-2.5147793
Rebekan El masnaoui,29,otro,Palencia,Polentinos,find de semana,mañana,bar,montaña,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1246.jpg,42.9387931,-4.5264759
Devion Perez de la cruz,90,otro,Burgos,Miranda de ebro,estresemana,tarde,bar,montaña,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1149.jpg,42.6855632,-2.9478451
Tamilia Hernandez frances,67,hombre,La_rioja,Foncea,estresemana,noche,bar,playa,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1811.jpg,42.6149845,-3.0390692
Kalinda Vicente de vera,54,mujer,Navarra,Oroz-betelu/orotz-betelu,estresemana,tarde,bar,playa,bar,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1045.jpg,42.8955387,-1.3037633
Aaran Sagastuy,75,mujer,Valencia,Higueruelas,estresemana,noche,disco,playa,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/789.jpg,39.7900911,-0.8617383
Linda Brozyna,33,mujer,Alicante,"Montesinos, los",find de semana,mañana,disco,playa,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1502.jpg,40.7161128,-3.5449127
Fallon Calleiros,76,otro,Barcelona,Sant cebrià de vallalta,estresemana,tarde,disco,playa,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1795.jpg,41.620353,2.6017906
Brandilynn Penn,61,hombre,Ceuta,Ceuta,find de semana,noche,disco,montaña,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1276.jpg,35.89442195,-5.355817352394269
Christ Lasalle,78,hombre,Valencia,Benicull de xúquer,estresemana,tarde,bar,montaña,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/758.jpg,39.1853985,-0.3821957
Thinh Ouazani,33,hombre,Ciudad_real,Manzanares,find de semana,tarde,disco,playa,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1808.jpg,38.9962242,-3.3722143
Chasta Lacarte,56,hombre,Ourense,"Mezquita, a",estresemana,tarde,disco,montaña,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1835.jpg,23.1243458,-82.359722
Nnamdi Kaissi,74,hombre,Caceres,Saucedilla,find de semana,mañana,disco,playa,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1818.jpg,39.8523549,-5.6770328
Gladimir Labaig,49,otro,Las_palmas,Santa lucía de tirajana,estresemana,noche,bar,montaña,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/376.jpg,27.9115471,-15.5405202
Micaela Held,83,mujer,Vizcaya,Zaratamo,find de semana,mañana,bar,playa,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/981.jpg,43.211818,-2.873426
Atom Arroud,89,mujer,Granada,Cortes y graena,estresemana,mañana,bar,montaña,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1726.jpg,37.2870853,-3.245263385876749
Renard Sicra,77,hombre,Soria,Villar del ala,estresemana,mañana,disco,montaña,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/182.jpg,41.9162914,-2.5664646
Tel Verdayes,44,mujer,Barcelona,Copons,estresemana,mañana,bar,montaña,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/969.jpg,41.6363657,1.5179333
Lindsie Tudosanu,18,mujer,Vizcaya,Getxo,estresemana,tarde,bar,montaña,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1407.jpg,43.3479409,-3.0087671
Alichia Gugeanu,40,hombre,Alicante,San fulgencio,estresemana,noche,bar,playa,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1873.jpg,38.1120645,-0.718444
Marisabel Zanatta,68,mujer,Burgos,Brazacorta,estresemana,noche,bar,playa,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1061.jpg,41.717424,-3.3669996
Claud Tsanova,92,mujer,Sevilla,Marinaleda,find de semana,noche,disco,montaña,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/418.jpg,37.3733482,-4.9538606
Maricella Martin calero,42,otro,Cordoba,"Carpio, el",estresemana,tarde,bar,montaña,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/621.jpg,20.6633985,-100.4005137
Gaylon El rhozlane,67,mujer,Madrid,Canencia,estresemana,tarde,disco,playa,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1132.jpg,40.9095894,-3.7375609
Lezli Rouain,47,mujer,Almeria,Níjar,estresemana,tarde,disco,playa,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/777.jpg,17.7356214,9.3238432
Sinan Obel,89,otro,Toledo,Navalcán,estresemana,noche,disco,montaña,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1850.jpg,40.0690965,-5.0931741
Latise Berrecoso,57,otro,La_rioja,Pedroso,estresemana,noche,bar,playa,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/506.jpg,42.3003186,-2.7186216
Panagiotis Fernandez quejo,69,hombre,Ciudad_real,Villarrubia de los ojos,find de semana,tarde,disco,montaña,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1912.jpg,39.2181465,-3.6070212
Judie Ruiz de mendoza,35,hombre,Islas_baleares,"Pobla, sa",find de semana,tarde,disco,playa,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1667.jpg,39.7608387,3.0335722071293034
Tanaia Cammarata,23,otro,Caceres,Santa cruz de paniagua,estresemana,mañana,disco,playa,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/712.jpg,40.1912047,-6.3406616
Marlos Kropf,75,mujer,Asturias,Yernes y tameza,estresemana,tarde,disco,playa,bar,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/988.jpg,43.2603086,-6.1055772816877525
Lasonya Beavis,51,otro,Pontevedra,Meis,find de semana,mañana,disco,playa,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/354.jpg,42.4996133,-8.724936507774776
Rondalyn Akther,43,mujer,Alicante,Benifato,find de semana,noche,disco,montaña,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/168.jpg,38.6733441,-0.2293991
Rosaelena Aamir,85,mujer,Cantabria,Polaciones,find de semana,noche,bar,montaña,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/784.jpg,43.1006846,-4.4143179
Frida Barham,32,otro,Burgos,Zuñeda,find de semana,mañana,disco,montaña,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/462.jpg,42.6048358,-3.2264746
Ladarian Ben laarbi,79,hombre,Teruel,Cucalón,find de semana,mañana,bar,playa,bar,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/519.jpg,41.0860186,-1.2154325
Enjolie Andoh,78,mujer,Navarra,Oronz/orontze,estresemana,noche,bar,playa,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1821.jpg,42.8685267,-1.0965787
Angella Worsley,26,mujer,Lleida,Bellcaire d'urgell,find de semana,mañana,disco,montaña,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1956.jpg,41.7589072,0.904537
Waleska Galus,90,mujer,Castellon,Puebla de arenoso,find de semana,mañana,bar,playa,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/199.jpg,40.1048933,-0.5927755
Shikita Damasco,67,otro,Zaragoza,Ainzón,find de semana,tarde,disco,montaña,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/861.jpg,41.816236,-1.5198464
Jenalee Eirey,75,mujer,Valladolid,Castronuño,find de semana,mañana,bar,playa,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/690.jpg,41.3887733,-5.2633186
Kristianne Nerida,61,otro,Vizcaya,Bermeo,find de semana,mañana,disco,playa,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/168.jpg,43.4194242,-2.7231562
Harlen Lasen,24,hombre,Madrid,Chinchón,find de semana,mañana,bar,playa,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/106.jpg,40.1408293,-3.4231474
Felipe Fatuarte,70,mujer,Cordoba,Espejo,estresemana,mañana,disco,playa,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1461.jpg,37.678932,-4.5537827
Rheannon Mancipe,27,hombre,Salamanca,"Alamedilla, la",estresemana,noche,disco,montaña,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1236.jpg,40.967136249999996,-5.656937316079411
Dessa Barizo,89,hombre,Granada,Padul,find de semana,tarde,disco,playa,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/236.jpg,37.0222913,-3.6274938
Shawta Fankouch,59,mujer,Caceres,Cáceres,estresemana,tarde,disco,montaña,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1498.jpg,39.4745175,-6.3716761
Koree Badarau,31,otro,Castellon,Benicasim/benicàssim,find de semana,mañana,bar,montaña,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/701.jpg,40.0581423,0.0579149
Halston Caravajal,71,mujer,Guadalajara,Hita,find de semana,tarde,disco,montaña,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/658.jpg,40.8248455,-3.0495843
Sebrena Ait brahim,23,mujer,Huesca,Sahún,find de semana,tarde,bar,montaña,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1888.jpg,42.576471,0.4651868
Jordie Sisay,55,otro,Alava,Lanciego/lantziego,estresemana,tarde,bar,playa,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1720.jpg,42.5637542,-2.506912
Mike Terme,25,hombre,Madrid,Carabaña,estresemana,noche,disco,playa,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/235.jpg,40.256626,-3.2347206
Shanay Lind,82,otro,Melilla,Melilla,estresemana,tarde,disco,playa,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/866.jpg,35.29291145,-2.950720236037561
Mizraim Oubouaid,25,mujer,Zaragoza,Ricla,estresemana,tarde,bar,montaña,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1511.jpg,41.5036933,-1.4042867
Leshia Lazagabaster,52,otro,Pontevedra,Lalín,estresemana,tarde,disco,montaña,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1274.jpg,42.6614127,-8.1109759
